Id,sepallength,sepalwidth,petallength,petalwidth,CLASS_NAME
1,6.3,3.3,6,2.5,Iris-virginica
2,5.8,2.7,5.1,1.9,Iris-virginica
3,7.1,3,5.9,2.1,Iris-virginica
4,6.3,2.9,5.6,1.8,Iris-virginica
5,6.5,3,5.8,2.2,Iris-virginica
6,7.6,3,6.6,2.1,Iris-virginica
7,4.9,2.5,4.5,1.7,Iris-virginica
8,7.3,2.9,6.3,1.8,Iris-virginica
9,6.7,2.5,5.8,1.8,Iris-virginica
10,7.2,3.6,6.1,2.5,Iris-virginica
11,6.5,3.2,5.1,2,Iris-virginica
12,6.4,2.7,5.3,1.9,Iris-virginica
13,6.8,3,5.5,2.1,Iris-virginica
14,5.7,2.5,5,2,Iris-virginica
15,5.8,2.8,5.1,2.4,Iris-virginica
16,6.4,3.2,5.3,2.3,Iris-virginica
17,6.5,3,5.5,1.8,Iris-virginica
18,7.7,3.8,6.7,2.2,Iris-virginica
19,7.7,2.6,6.9,2.3,Iris-virginica
20,6,2.2,5,1.5,Iris-virginica
21,6.9,3.2,5.7,2.3,Iris-virginica
22,5.6,2.8,4.9,2,Iris-virginica
23,7.7,2.8,6.7,2,Iris-virginica
24,6.3,2.7,4.9,1.8,Iris-virginica
25,6.7,3.3,5.7,2.1,Iris-virginica
26,7.2,3.2,6,1.8,Iris-virginica
27,6.2,2.8,4.8,1.8,Iris-virginica
28,6.1,3,4.9,1.8,Iris-virginica
29,6.4,2.8,5.6,2.1,Iris-virginica
30,7.2,3,5.8,1.6,Iris-virginica
31,7.4,2.8,6.1,1.9,Iris-virginica
32,7.9,3.8,6.4,2,Iris-virginica
33,6.4,2.8,5.6,2.2,Iris-virginica
34,6.3,2.8,5.1,1.5,Iris-virginica
35,6.1,2.6,5.6,1.4,Iris-virginica
36,7.7,3,6.1,2.3,Iris-virginica
37,6.3,3.4,5.6,2.4,Iris-virginica
38,6.4,3.1,5.5,1.8,Iris-virginica
39,6,3,4.8,1.8,Iris-virginica
40,6.9,3.1,5.4,2.1,Iris-virginica
41,6.7,3.1,5.6,2.4,Iris-virginica
42,6.9,3.1,5.1,2.3,Iris-virginica
43,5.8,2.7,5.1,1.9,Iris-virginica
44,6.8,3.2,5.9,2.3,Iris-virginica
45,6.7,3.3,5.7,2.5,Iris-virginica
46,6.7,3,5.2,2.3,Iris-virginica
47,6.3,2.5,5,1.9,Iris-virginica
48,6.5,3,5.2,2,Iris-virginica
49,6.2,3.4,5.4,2.3,Iris-virginica
50,5.9,3,5.1,1.8,Iris-virginica
